eventType,poolType,poolName,amountRaw,amountFormatted,tokenSymbol,tokenDecimals,basisSourceEvent,basisFormula,sourceUser,sourceReferrer,recipientOrBeneficiary,dayId,rank,luckyRank,orderId,block,tx
PoolAllocated,3,Node,80000000000000000000,80.0,USDx5,18,NodePurchased,80000000000000000000 = 1000000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000001,7619742,0x411023b951615cf59ffdbe24764fbe748922df93ea140090eddf63258528cc54
PoolAllocated,4,Platform,200000000000000000000,200.0,USDx5,18,NodePurchased,200000000000000000000 = 1000000000000000000000 * 2000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000001,7619742,0x411023b951615cf59ffdbe24764fbe748922df93ea140090eddf63258528cc54
PoolAllocated,5,Leaderboard,20000000000000000000,20.0,USDx5,18,NodePurchased,20000000000000000000 = 1000000000000000000000 * 200/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000001,7619742,0x411023b951615cf59ffdbe24764fbe748922df93ea140090eddf63258528cc54
PoolAllocated,0,Liquidity,1800000000000000000000,1800.0,USDx5,18,SuperNodePurchased,1800000000000000000000 = 3000000000000000000000 * 6000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000001,7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162
PoolAllocated,1,Referral,150000000000000000000,150.0,USDx5,18,SuperNodePurchased,150000000000000000000 = 3000000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000001,7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162
PoolAllocated,2,SuperNode,150000000000000000000,150.0,USDx5,18,SuperNodePurchased,150000000000000000000 = 3000000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000001,7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162
PoolAllocated,3,Node,240000000000000000000,240.0,USDx5,18,SuperNodePurchased,240000000000000000000 = 3000000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000001,7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162
PoolAllocated,4,Platform,600000000000000000000,600.0,USDx5,18,SuperNodePurchased,600000000000000000000 = 3000000000000000000000 * 2000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000001,7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162
PoolAllocated,5,Leaderboard,60000000000000000000,60.0,USDx5,18,SuperNodePurchased,60000000000000000000 = 3000000000000000000000 * 200/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,,,,2000000001,7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162
PoolAllocated,0,Liquidity,60000000000000000000,60.0,USDx5,18,MachinePurchased,60000000000000000000 = 100000000000000000000 * 6000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,3,7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54
PoolAllocated,1,Referral,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,3,7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54
PoolAllocated,2,SuperNode,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,3,7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54
PoolAllocated,3,Node,8000000000000000000,8.0,USDx5,18,MachinePurchased,8000000000000000000 = 100000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,3,7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54
PoolAllocated,4,Platform,20000000000000000000,20.0,USDx5,18,MachinePurchased,20000000000000000000 = 100000000000000000000 * 2000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,3,7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54
PoolAllocated,5,Leaderboard,2000000000000000000,2.0,USDx5,18,MachinePurchased,2000000000000000000 = 100000000000000000000 * 200/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,3,7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54
PoolAllocated,0,Liquidity,600000000000000000000,600.0,USDx5,18,MachinePurchased,600000000000000000000 = 1000000000000000000000 * 6000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,4,7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07
PoolAllocated,1,Referral,50000000000000000000,50.0,USDx5,18,MachinePurchased,50000000000000000000 = 1000000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,4,7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07
PoolAllocated,2,SuperNode,50000000000000000000,50.0,USDx5,18,MachinePurchased,50000000000000000000 = 1000000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,4,7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07
PoolAllocated,3,Node,80000000000000000000,80.0,USDx5,18,MachinePurchased,80000000000000000000 = 1000000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,4,7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07
PoolAllocated,4,Platform,200000000000000000000,200.0,USDx5,18,MachinePurchased,200000000000000000000 = 1000000000000000000000 * 2000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,4,7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07
